University,University-Country,Exchange-Course-Code,Exchange-Course-Title,HKU-Course-Code,HKU-Course-Title
Pontificia Universidad Católica de Chile,Chile,-,Español Lengua Extranjera y Cultura: Intermedio Avanzado – B2,SPANxxxx,-
Pontificia Universidad Católica de Chile,Chile,-,Historia de América Contemporánea,HISTxxxx,-
Pontificia Universidad Católica de Chile,Chile,-,Historia de América Siglo XIX,HISTxxxx,-
Pontificia Universidad Católica de Chile,Chile,-,Seminario de Cultura Chilena,HISTxxxx,-
Zagreb School of Economics and Management,Croatia,-,"International Leadership, Strategy and HR",MGMT3403,-
Aarhus University,Denmark,-,Atrocity Stories and Images: Human Rights in a Changing World,ENGLxxxx,-
Aarhus University,Denmark,-,Danish Perspectives,HISTxxxx,-
Aarhus University,Denmark,-,"History, Memory, and Culture in Central Europe",HISTxxxx,-
Aarhus University,Denmark,-,Language in Use: Semantics and Pragmatics,LINGxxxx,-
Aarhus University,Denmark,-,"Literature in English 3: Voices, Conflicts and Identities",ENGLxxxx,-
Aarhus University,Denmark,-,The Afterlife of the Viking Age,HISTxxxx,-
University of Copenhagen,Denmark,-,Course in Danish Culture 1,EUSTxxxx,-
University of Copenhagen,Denmark,-,Course in Danish Culture 2,EUSTxxxx,-
University of Copenhagen,Denmark,-,Danish as a Foreign Language: Beginner's Level 1,EUSTxxxx,-
University of Copenhagen,Denmark,-,Danish Culture Course 2,SWEDxxxx,-
University of Copenhagen,Denmark,-,Language and Culture in Organisations,LINGxxxx,-
University of Copenhagen,Denmark,-,Research Methodology and Practice: Intro to R for Data Science,SOCIxxxx,-
University of Helsinki,Finland,-,African Linguistics,LING2064,-
University of Helsinki,Finland,-,Anthropological Linguistics,LINGxxxx,-
University of Helsinki,Finland,-,Baltic Media: Evolution of Journalism and Resilience to Disinformation,JMSCxxxx,-
University of Helsinki,Finland,-,Consumption of Novelty,MKTG3526,-
University of Helsinki,Finland,-,Cultural History of Debt,HISTxxxx,-
University of Helsinki,Finland,-,Current Topics in Linguistics II (Multilingualism and Multilingual Language Socialization),LINGxxxx,-
University of Helsinki,Finland,-,Current Trends in European Politics,POLIxxxx,-
University of Helsinki,Finland,-,Ethics of Artificial Intelligence,PHILxxxx,-
University of Helsinki,Finland,-,Finnish Beginners' Course for Exchange Students,EUSTxxxx,-
University of Helsinki,Finland,-,Finnish for Exchange Students A,EUSTxxxx,-
University of Helsinki,Finland,-,"Gender, Politics and Society",POLIxxxx,-
University of Helsinki,Finland,-,Globalization and Global Governance,POLIxxxx,-
University of Helsinki,Finland,-,Historical Linguistics,LINGxxxx,-
University of Helsinki,Finland,-,History of German Colonialism,HISTxxxx,-
University of Helsinki,Finland,-,History of Linguistics,LINGxxxx,-
University of Helsinki,Finland,-,Introduction to Asian Studies,JAPNxxxx,-
University of Helsinki,Finland,-,Introduction to NLP for Digital Humanities (Python),LINGxxxx,-
University of Helsinki,Finland,-,Language Typology,LING2013,-
University of Helsinki,Finland,-,Media Discourse,LCOMxxxx,-
University of Helsinki,Finland,-,Political and Social Transformation in the Balkans After the Dissolution of Yugoslavia,POLIxxxx,-
University of Helsinki,Finland,-,Politics of Migration Governance,POLIxxxx,-
University of Helsinki,Finland,-,Programming for Phoneticians,LINGxxxx,-
University of Helsinki,Finland,-,"Sociology of Health, Illness and Medicine",SOCIxxxx,-
University of Helsinki,Finland,-,Special Topics in Public Administration: Coordination and Centralization,POLIxxxx,-
University of Helsinki,Finland,-,"The Cold War, A History Through Sports",SOCIxxxx,-
University of Helsinki,Finland,-,Uralic Linguistics,LINGxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Age of Economists: A History and a Critique (The),ECON2272,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Arabic Basic User (A1),ARAB1001,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Contemporary Challenges to Democracy,POLIxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Contemporary Latin America,AMERxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Cryptocurrencies and Blockchain: New Challenges for Banks and Central Banks,FINAxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Digital Data in a Societal Context,SOCIxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Education and Social Inequalities in Western Countries,SOCIxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,European Union Foreign Policy towards the People’s Republic of China	,POLIxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Français A1,FRENxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Français A2,FREN2001,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Français B2,FREN3002,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,French B1,FREN3002,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,French Independent User (B1),FREN2002,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,History and Cultural Heritage Diplomacy,HISTxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,History Workshop: A Reflection on Heritage and Museums,HISTxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,"Identities, Migrations and Territories in Contemporary France",POLIxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,International Conflicts,EUSTxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Introduction to Econometrics with R,ECON2280,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Laboratory of Modern Politics: France since the Revolution of 1789 to Our Day,EUSTxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Law and Art: Legal Debates as Represented in Art,ARTHxxxx/FINExxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Law and Literature,ENGLxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Left and Right in European Politics,EUSTxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Leviathan Rising: a Social History of Public Administration,HISTxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,"Liberalism, Democracy, and the Law",POLIxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Marketing and Customer Relationship Management,MKTGxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Migrations and Their Impact in the Global North,POLIxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,"Music, Identity and Politics in the Middle East",MUSIxxxx,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,Narratives and Representations of the Past,CCHU9003,-
Institut d'Etudes Politiques de Paris (Sciences Po),France,-,"Opera, Power and Politics",MUSI3037,-
